2 1
31.05.2016 01:00:00.00 3600 2.7777777778e-04
144.0 0.0 3.672535285659251e-06 0.6
145.0 0.0 2.0784566459042253e-06 0.6
146.0 0.0 1.399974735249998e-06 0.6
147.0 0.0 3.5024413591600023e-07 0.6
148.0 -5.006507990401587e-07 -9.830314070313761e-06 0.6
149.0 -2.2659228307020385e-06 -5.7764616485656006e-05 0.6
150.0 -1.980840170290321e-05 -0.00015958536823745817 0.6
151.0 -9.65686995186843e-05 -0.0001944642499438487 0.6
152.0 -0.0002409804583294317 -0.00012657105980906636 0.6
153.0 -0.0003718144434969872 -6.063180626370013e-05 0.6
154.0 -0.0004174650530330837 -6.933527765795588e-05 0.6
155.0 -0.0004447138635441661 -7.88349425420165e-05 0.6
156.0 -0.0004217176465317607 -6.965768989175558e-05 0.6
157.0 -0.0003841542638838291 -7.047201506793499e-05 0.6
158.0 -0.0003044405020773411 -5.257013253867626e-05 0.6
159.0 -0.0002660758327692747 -4.71330713480711e-05 0.6
160.0 -0.00019081193022429943 -3.530946560204029e-05 0.6
161.0 -9.742775000631809e-05 -2.037198282778263e-05 0.6
162.0 -4.2662257328629494e-05 -1.2523727491497993e-05 0.6
163.0 -1.065712422132492e-05 -7.405877113342285e-06 0.6
164.0 -8.142320439219475e-06 -6.704358384013176e-06 0.6
165.0 -7.5569842010736465e-06 -6.078043952584267e-06 0.6
166.0 -5.590496584773064e-06 -4.386762157082558e-06 0.6
167.0 -3.339722752571106e-06 -2.6961788535118103e-06 0.6
168.0 -1.554021537231165e-06 -1.4414724773814669e-06 0.6
169.0 -5.240963218966499e-11 3.538992814355879e-07 0.6
170.0 0.0 3.3018693557096412e-06 0.6
171.0 1.1709744285326451e-11 1.090696707706229e-05 0.6
172.0 -1.4687417206005193e-05 -2.9678540158784017e-06 0.6
173.0 -4.3997293687425554e-05 -9.347651939606294e-06 0.6
174.0 -0.00013866105291526765 -2.6939203962683678e-05 0.6
175.0 -0.00023248008801601827 -4.0558952605351806e-05 0.6
176.0 -0.00031208069412969053 -4.8537825932726264e-05 0.6
177.0 -0.0003953990526497364 -6.014294922351837e-05 0.6
178.0 -0.00044210453052073717 -6.910774391144514e-05 0.6
179.0 -0.00043868564534932375 -7.853575516492128e-05 0.6
180.0 -0.0004337569698691368 -7.992028258740902e-05 0.6
181.0 -0.00039925449527800083 -6.74314796924591e-05 0.6
182.0 -0.00032570306211709976 -5.961023271083832e-05 0.6
183.0 -0.0002491897903382778 -4.5526307076215744e-05 0.6
184.0 -6.887596100568771e-05 -0.000139579176902771 0.6
185.0 -6.006215699017048e-05 -7.895450107753277e-05 0.6
186.0 -2.0316801965236664e-05 -6.038695573806763e-06 0.6
187.0 -1.6205012798309326e-07 -2.1047890186309814e-07 0.6
188.0 -1.7811544239521027e-07 -5.236361175775528e-07 0.6
189.0 -1.862645149230957e-09 2.3422762751579285e-07 0.6
190.0 0.0 7.548369467258453e-07 0.6
191.0 0.0 6.132759153842926e-07 0.6
192.0 0.0 1.5417117538163438e-06 0.6
193.0 0.0 2.3958623387443367e-06 0.6
194.0 0.0 3.1463964660360944e-06 0.6
195.0 0.0 2.7744827093556523e-06 0.6
196.0 -1.9976642562369307e-08 -1.1762489968702994e-06 0.6
197.0 -1.6638102806609822e-07 -1.9664834439936385e-05 0.6
198.0 -1.1495272929096245e-06 -0.00012378150256608933 0.6
199.0 -2.014526216953527e-06 -0.00015388150950457202 0.6
200.0 -4.7361027100123465e-06 -0.0002371835507801734 0.6
201.0 -1.765391425578855e-05 -0.0002376518132223282 0.6
202.0 -2.3702614271314815e-05 -0.00012884522948297672 0.6
203.0 -1.1763360816985369e-05 -0.00025800149887800217 0.6
204.0 -4.817268927581608e-05 -0.00026926372083835304 0.6
205.0 -9.194406447932124e-05 -0.0001570595777593553 0.6
206.0 -0.00012074568076059222 -0.00013001944171264768 0.6
207.0 -0.00012271362356841564 -9.890529327094555e-05 0.6
208.0 -7.994813495315611e-05 -5.38226158823818e-05 0.6
209.0 -4.5474094804376364e-05 -3.453256795182824e-05 0.6
210.0 -5.856389179825783e-06 -3.584264777600765e-05 0.6
211.0 -8.557690307497978e-07 -6.759190000593662e-06 0.6
212.0 -2.3865140974521637e-09 2.49926233664155e-06 0.6
213.0 -4.249159246683121e-09 8.964561857283115e-07 0.6
214.0 -3.4924596548080444e-10 2.453685738146305e-06 0.6
215.0 -7.566995918750763e-10 -8.736213203519583e-06 0.6
216.0 -1.7331522883523576e-08 -2.1920935786567952e-05 0.6
217.0 -1.2613077160494868e-07 -2.8961165071450523e-05 0.6
218.0 -3.116956008852867e-07 -3.124848359448151e-05 0.6
219.0 -6.336745173030067e-07 -2.634460861372645e-05 0.6
220.0 -3.147294592054095e-06 -4.077561698068166e-05 0.6
221.0 -1.2752193470078055e-05 -7.830379672668641e-05 0.6
222.0 -3.5759410820901394e-05 -0.00011199261643923819 0.6
223.0 -9.695933113107458e-05 -0.00013681870041182265 0.6
224.0 -0.00019626111316028982 -0.00010525689867790788 0.6
225.0 -0.00029243779135867953 -5.9381884057074785e-05 0.6
226.0 -0.0003805729211308062 -6.0553138609975576e-05 0.6
227.0 -0.0003901498857885599 -6.422679871320724e-05 0.6
228.0 -0.0003778595710173249 -6.302481051534414e-05 0.6
229.0 -0.00033058517146855593 -5.638191942125559e-05 0.6
230.0 -0.00026585045270621777 -4.6811532229185104e-05 0.6
231.0 -0.0002332285512238741 -4.1141873225569725e-05 0.6
232.0 -0.00018656090833246708 -3.375601954758167e-05 0.6
233.0 -0.00010809325613081455 -2.0554056391119957e-05 0.6
234.0 -3.9744190871715546e-05 -9.93441790342331e-06 0.6
235.0 -5.970476195216179e-06 -3.4335535019636154e-06 0.6
236.0 -1.5737023204565048e-06 -1.6854610294103622e-06 0.6
237.0 -3.6228448152542114e-07 -1.405365765094757e-06 0.6
238.0 0.0 -5.993060767650604e-07 0.6
239.0 0.0 1.1194497346878052e-06 0.6
240.0 0.0 2.7989617592538707e-06 0.6
241.0 0.0 3.2126677069754805e-06 0.6
242.0 0.0 3.4903728192148264e-06 0.6
243.0 0.0 3.686707714223303e-06 0.6
244.0 -1.2961653510501492e-06 -7.426698402923648e-07 0.6
245.0 -7.4393919931026176e-06 -1.5650521163479425e-06 0.6
246.0 -0.00011631668894551694 -2.109925844706595e-05 0.6
247.0 -0.0002075747906928882 -3.360785194672644e-05 0.6
248.0 -0.00026213994715362787 -4.118832293897867e-05 0.6
249.0 -0.0002705482766032219 -4.3814186938107014e-05 0.6
