2 1
31.05.2016 01:00:00.00 3600 7.71604e-08
75.0 5.712753e-06 2.448323e-06 0.6
76.0 6.4755186e-06 2.7752224e-06 0.6
77.0 4.0837285e-06 1.7501695e-06 0.6
78.0 -9.773983e-05 -4.1888503e-05 0.6
79.0 -0.0002671898 -0.00011450992 0.6
80.0 -0.0005249702 -0.00022498723 0.6
81.0 -0.00080027344 -0.00034297435 0.6
82.0 -0.0011080524 -0.00047487963 0.6
83.0 -0.0013158803 -0.00056394876 0.6
84.0 -0.0015034929 -0.00064435415 0.6
85.0 -0.0017496569 -0.000749853 0.6
86.0 -0.001971252 -0.0008448224 0.6
87.0 -0.0022023548 -0.00094386644 0.6
88.0 -0.0023567001 -0.0010100144 0.6
89.0 -0.0024374756 -0.0010446324 0.6
90.0 -0.0024892993 -0.0010668426 0.6
91.0 -0.0024974844 -0.0010703505 0.6
92.0 -0.0024974947 -0.001070355 0.6
93.0 -0.002497619 -0.0010704082 0.6
94.0 -0.0024973382 -0.0010702879 0.6
95.0 -0.0024971568 -0.0010702101 0.6
96.0 1.3584195e-06 5.8217984e-07 0.6
97.0 2.8512716e-06 1.2219737e-06 0.6
98.0 3.4449138e-06 1.4763917e-06 0.6
99.0 3.7003347e-06 1.5858578e-06 0.6
100.0 2.36623e-06 1.0140986e-06 0.6
101.0 -2.1861704e-05 -9.3693025e-06 0.6
102.0 -9.930774e-05 -4.2560463e-05 0.6
103.0 -0.00024798303 -0.00010627845 0.6
104.0 -0.0004486471 -0.00019227734 0.6
105.0 -0.0006731524 -0.0002884939 0.6
106.0 -0.00081323955 -0.00034853123 0.6
107.0 -0.0010143442 -0.00043471897 0.6
108.0 -0.0012441569 -0.0005332101 0.6
109.0 -0.0014711032 -0.0006304728 0.6
110.0 -0.0016965861 -0.0007271084 0.6
111.0 -0.0018876875 -0.00080900895 0.6
112.0 -0.0020474084 -0.0008774608 0.6
113.0 -0.0021419832 -0.0009179929 0.6
114.0 -0.0021498862 -0.0009213799 0.6
115.0 -0.0021500182 -0.00092143647 0.6
116.0 -0.0021465283 -0.0009199407 0.6
117.0 -0.0021428587 -0.00091836805 0.6
118.0 -0.0021340582 -0.0009145964 0.6
119.0 -0.0021316078 -0.0009135463 0.6
120.0 1.5137774e-06 6.487618e-07 0.6
121.0 3.4969485e-06 1.4986923e-06 0.6
122.0 5.4936895e-06 2.3544385e-06 0.6
123.0 6.515398e-06 2.7923136e-06 0.6
124.0 6.2454988e-06 2.6766425e-06 0.6
125.0 5.0055223e-06 2.145224e-06 0.6
126.0 -9.5095915e-05 -4.0755396e-05 0.6
127.0 -0.00028622113 -0.00012266621 0.6
128.0 -0.0005675587 -0.00024323945 0.6
129.0 -0.00091517414 -0.0003922175 0.6
130.0 -0.001282133 -0.0005494856 0.6
131.0 -0.0016729871 -0.0007169945 0.6
132.0 -0.0020139178 -0.0008631077 0.6
133.0 -0.0023214656 -0.0009949139 0.6
134.0 -0.0026259106 -0.0011253903 0.6
135.0 -0.0029076 -0.0012461144 0.6
136.0 -0.0030750078 -0.0013178606 0.6
137.0 -0.0031590532 -0.0013538799 0.6
138.0 -0.003180043 -0.0013628757 0.6
139.0 -0.0031735406 -0.0013600888 0.6
140.0 -0.0031708684 -0.0013589436 0.6
141.0 -0.0031681787 -0.001357791 0.6
142.0 -0.0031657931 -0.0013567685 0.6
143.0 -0.0031627002 -0.001355443 0.6
144.0 2.5703507e-06 1.101579e-06 0.6
145.0 4.0257673e-06 1.7253291e-06 0.6
146.0 5.0073063e-06 2.1459887e-06 0.6
147.0 5.2503424e-06 2.2501467e-06 0.6
148.0 -1.992042e-06 -8.5373233e-07 0.6
149.0 -4.520483e-05 -1.93735e-05 0.6
150.0 -0.00017945233 -7.6908145e-05 0.6
151.0 -0.00042722988 -0.00018309853 0.6
152.0 -0.0007984301 -0.00034218436 0.6
153.0 -0.0012812444 -0.00054910476 0.6
154.0 -0.0018306072 -0.00078454596 0.6
155.0 -0.0024319396 -0.0010422599 0.6
156.0 -0.003014938 -0.0012921164 0.6
157.0 -0.0035696272 -0.0015298403 0.6
158.0 -0.0040258607 -0.001725369 0.6
159.0 -0.004430501 -0.0018987862 0.6
160.0 -0.0047317147 -0.0020278778 0.6
161.0 -0.004893276 -0.0020971184 0.6
162.0 -0.0049961424 -0.002141204 0.6
163.0 -0.0050556543 -0.0021667092 0.6
164.0 -0.0051117493 -0.0021907499 0.6
165.0 -0.005163659 -0.0022129968 0.6
166.0 -0.0052006925 -0.0022288682 0.6
167.0 -0.0052217753 -0.002237904 0.6
168.0 -8.983624e-06 -3.850125e-06 0.6
169.0 -7.160551e-06 -3.0688077e-06 0.6
170.0 5.167496e-07 2.2146412e-07 0.6
171.0 8.152368e-06 3.493872e-06 0.6
172.0 -4.205361e-06 -1.8022978e-06 0.6
173.0 -5.7661073e-05 -2.471189e-05 0.6
174.0 -0.0002411678 -0.00010335763 0.6
175.0 -0.0005540225 -0.00023743823 0.6
176.0 -0.0009664719 -0.00041420228 0.6
177.0 -0.0014834267 -0.0006357543 0.6
178.0 -0.0020671443 -0.000885919 0.6
179.0 -0.002662034 -0.0011408718 0.6
180.0 -0.0032532404 -0.001394246 0.6
181.0 -0.0037908123 -0.0016246339 0.6
182.0 -0.004244621 -0.0018191233 0.6
183.0 -0.0046018246 -0.0019722106 0.6
184.0 -0.00482508 -0.0020678914 0.6
