2 1
02.01.1980 00:00:00.000 1 1.157407408e-05
276 0.0007659941 0.0003282832 0.6
277 0.0007616203 0.0003264087 0.6
278 0.0008296941 0.0003555832 0.6
279 0.0007295588 0.0003126681 0.6
280 0.0006407664 0.0002746142 0.6
281 0.0006074643 0.0002603419 0.6
282 0.0006091396 0.0002610598 0.6
283 0.0006201181 0.0002657649 0.6
284 0.0005921930 0.0002537970 0.6
285 0.0005766174 0.0002471217 0.6
286 0.0006079032 0.0002605299 0.6
287 0.0006796482 0.0002912778 0.6
288 0.0006635639 0.0002843845 0.6
289 0.0005629834 0.0002412786 0.6
290 0.0005208194 0.0002232083 0.6
291 0.0004882380 0.0002092449 0.6
292 0.0005168369 0.0002215015 0.6
293 0.0005381471 0.0002306345 0.6
294 0.0005393647 0.0002311563 0.6
295 0.0005739249 0.0002459678 0.6
296 0.0005063662 0.0002170141 0.6
297 0.0004783222 0.0002049952 0.6
298 0.0004988763 0.0002138041 0.6
299 0.0005532209 0.0002370947 0.6
300 0.0005611014 0.0002404720 0.6
301 0.0004598273 0.0001970689 0.6
302 0.0003873368 0.0001660015 0.6
303 0.0002870860 0.0001230369 0.6
304 0.0002324389 0.0000996167 0.6
305 0.0002229563 0.0000955527 0.6
306 0.0002134486 0.0000914780 0.6
307 0.0002170544 0.0000930233 0.6
308 0.0002265662 0.0000970998 0.6
309 0.0002334914 0.0001000677 0.6
310 0.0002671702 0.0001145015 0.6
311 0.0002686934 0.0001151543 0.6
312 0.0002259991 0.0000968567 0.6
313 0.0002092342 0.0000896718 0.6
314 0.0002085324 0.0000893710 0.6
315 0.0002207649 0.0000946135 0.6
316 0.0002240520 0.0000960223 0.6
317 0.0002606680 0.0001117148 0.6
318 0.0003039703 0.0001302730 0.6
319 0.0003177743 0.0001361890 0.6
320 0.0002992795 0.0001282626 0.6
321 0.0002586943 0.0001108690 0.6
322 0.0002690818 0.0001153208 0.6
323 0.0002834211 0.0001214662 0.6
324 0.0002716444 0.0001164190 0.6
325 0.0002757605 0.0001181831 0.6
326 0.0002495991 0.0001069710 0.6
327 0.0002403218 0.0001029951 0.6
328 0.0002283696 0.0000978727 0.6
329 0.0001709474 0.0000732632 0.6
330 0.0001669728 0.0000715598 0.6
331 0.0001609695 0.0000689869 0.6
332 0.0001598898 0.0000685242 0.6
333 0.0001181271 0.0000506259 0.6
334 0.0001087136 0.0000465915 0.6
